family,variant,horizon_days,parameters,observations,mean_ic,std_ic,tstat,positive_rate
momentum,12m-2m,42,"{""skip"": 42, ""window"": 252}",4139,0.006964512251548732,0.1962379901109697,0.45575083338562494,0.5179995167914956
momentum,12m-2m,63,"{""skip"": 42, ""window"": 252}",4118,0.0057799015916128555,0.19152625192168998,0.315630118858607,0.5162700339970859
momentum,12m-2m,126,"{""skip"": 42, ""window"": 252}",4055,0.009425145050808287,0.1845220677140313,0.38440996365085417,0.5432799013563502
momentum,12m-2m,252,"{""skip"": 42, ""window"": 252}",3929,0.001298074844556408,0.16582902586806095,0.04510795555642649,0.5329600407228302
momentum,18m-0m,1,"{""skip"": 0, ""window"": 378}",4180,0.009778503498860756,0.22450957629595056,2.8162916104388427,0.531578947368421
momentum,18m-0m,5,"{""skip"": 0, ""window"": 378}",4176,0.010383759172742126,0.21956197697473726,1.697492952303269,0.5395114942528736
momentum,18m-0m,10,"{""skip"": 0, ""window"": 378}",4171,0.00786515771514836,0.21483580532388916,0.9327315211045719,0.5308079597218892
momentum,18m-0m,21,"{""skip"": 0, ""window"": 378}",4160,0.005472526625231005,0.20946925650232448,0.4676194334722238,0.5509615384615385
momentum,18m-0m,42,"{""skip"": 0, ""window"": 378}",4139,0.001603199226002773,0.20488270037243214,0.10022740892725683,0.5317709591688814
momentum,18m-0m,63,"{""skip"": 0, ""window"": 378}",4118,0.001952065748394589,0.1979779592797223,0.10358270626439312,0.5434677027683341
momentum,18m-0m,126,"{""skip"": 0, ""window"": 378}",4055,0.01010510585056533,0.19279661704797837,0.3850398968105131,0.5903822441430333
momentum,18m-0m,252,"{""skip"": 0, ""window"": 378}",3929,-0.016515634031774546,0.18090340563953566,-0.516475322482291,0.528124204632222
momentum,18m-1m,1,"{""skip"": 21, ""window"": 378}",4180,0.011415549690497882,0.2232149475163065,3.306843572005416,0.5289473684210526
momentum,18m-1m,5,"{""skip"": 21, ""window"": 378}",4176,0.013016035941857969,0.217937679147646,2.142083657639292,0.5454980842911877
momentum,18m-1m,10,"{""skip"": 21, ""window"": 378}",4171,0.0104564625155845,0.21280461213198587,1.2601148846842714,0.5339247182929753
momentum,18m-1m,21,"{""skip"": 21, ""window"": 378}",4160,0.00787148738154135,0.20396108817967928,0.6907209444071114,0.5454326923076923
momentum,18m-1m,42,"{""skip"": 21, ""window"": 378}",4139,0.004354768047273318,0.20096712520172236,0.27721322231646384,0.5332205846822904
momentum,18m-1m,63,"{""skip"": 21, ""window"": 378}",4118,0.0037570371392751855,0.19520140881106401,0.20037883043223081,0.5403108305002429
momentum,18m-1m,126,"{""skip"": 21, ""window"": 378}",4055,0.011141364192069693,0.19398611206686794,0.4204401683564831,0.5911220715166461
momentum,18m-1m,252,"{""skip"": 21, ""window"": 378}",3929,-0.017661696234805263,0.17500944341788321,-0.5611869543343491,0.5159073555612115
momentum,18m-2m,1,"{""skip"": 42, ""window"": 378}",4180,0.010964101522030404,0.21704632663116225,3.2663348481008723,0.5299043062200957
momentum,18m-2m,5,"{""skip"": 42, ""window"": 378}",4176,0.013439943876390836,0.2131971403289422,2.2486744698492784,0.5459770114942529
momentum,18m-2m,10,"{""skip"": 42, ""window"": 378}",4171,0.011603614921919785,0.20957807205280243,1.4138302627557344,0.5365619755454327
momentum,18m-2m,21,"{""skip"": 42, ""window"": 378}",4160,0.00989471611252464,0.20100605394162765,0.8773024739506271,0.5444711538461539
momentum,18m-2m,42,"{""skip"": 42, ""window"": 378}",4139,0.005478546752426625,0.19907127652523396,0.34902511054549273,0.5353950229524039
momentum,18m-2m,63,"{""skip"": 42, ""window"": 378}",4118,0.006097593912380784,0.19641218504960656,0.31957574688483875,0.5456532297231665
momentum,18m-2m,126,"{""skip"": 42, ""window"": 378}",4055,0.011613877307064528,0.19393418082214897,0.4360613473977582,0.5718865598027127
momentum,18m-2m,252,"{""skip"": 42, ""window"": 378}",3929,-0.018927965579755086,0.16982178404558887,-0.6135900265856365,0.5077627895138712
momentum,24m-0m,1,"{""skip"": 0, ""window"": 504}",4180,0.009638105351084284,0.21694970669731017,2.8725837409419555,0.5394736842105263
momentum,24m-0m,5,"{""skip"": 0, ""window"": 504}",4176,0.010219779379691686,0.21653906651090749,1.678710749422261,0.539272030651341
momentum,24m-0m,10,"{""skip"": 0, ""window"": 504}",4171,0.007814936826269577,0.2151770464336508,0.9127753350561252,0.5401582354351474
momentum,24m-0m,21,"{""skip"": 0, ""window"": 504}",4160,0.0022930945311961,0.2121692834209349,0.18975346318691816,0.5387019230769231
momentum,24m-0m,42,"{""skip"": 0, ""window"": 504}",4139,-0.005328134256433174,0.2081630055865004,-0.3247680485915894,0.5279052911331239
momentum,24m-0m,63,"{""skip"": 0, ""window"": 504}",4118,-0.009931191721125335,0.20260203035442736,-0.5079631229397826,0.5191840699368625
momentum,24m-0m,126,"{""skip"": 0, ""window"": 504}",4055,-0.015019536406450273,0.20122425168274677,-0.555471016082186,0.5331689272503083
momentum,24m-0m,252,"{""skip"": 0, ""window"": 504}",3929,-0.021820732586719398,0.18858704721993785,-0.6405915072623967,0.47365741919063375
momentum,24m-1m,1,"{""skip"": 21, ""window"": 504}",4180,0.011347799017189304,0.21610626064470367,3.395348701617651,0.5418660287081339
momentum,24m-1m,5,"{""skip"": 21, ""window"": 504}",4176,0.013147792711753608,0.2152438594101839,2.173742695178777,0.5486111111111112
momentum,24m-1m,10,"{""skip"": 21, ""window"": 504}",4171,0.010956171136562366,0.21339349391572854,1.2975705833129538,0.5461520019180053
momentum,24m-1m,21,"{""skip"": 21, ""window"": 504}",4160,0.0053601923010228305,0.20757792397378483,0.45222910273001327,0.5439903846153846
momentum,24m-1m,42,"{""skip"": 21, ""window"": 504}",4139,-0.002420936859856403,0.2064042441018122,-0.14814734832950285,0.5237980188451317
momentum,24m-1m,63,"{""skip"": 21, ""window"": 504}",4118,-0.008224055714072713,0.2016850548971324,-0.4178525984350376,0.5194269062651773
momentum,24m-1m,126,"{""skip"": 21, ""window"": 504}",4055,-0.014343511911921979,0.2034473942365262,-0.5228494863033807,0.530209617755857
momentum,24m-1m,252,"{""skip"": 21, ""window"": 504}",3929,-0.022877617838419798,0.18401920877535993,-0.6775720590414586,0.4726393484347162
momentum,24m-2m,1,"{""skip"": 42, ""window"": 504}",4180,0.01087406425545957,0.21161804589257113,3.3226094153590395,0.5363636363636364
momentum,24m-2m,5,"{""skip"": 42, ""window"": 504}",4176,0.013199028915744529,0.21173591162432961,2.208769274277986,0.5476532567049809
momentum,24m-2m,10,"{""skip"": 42, ""window"": 504}",4171,0.011382338817413967,0.21108545866715486,1.3588219189747643,0.5423159913689762
momentum,24m-2m,21,"{""skip"": 42, ""window"": 504}",4160,0.00637191369265864,0.20626615451470892,0.5381181701915407,0.5391826923076923
momentum,24m-2m,42,"{""skip"": 42, ""window"": 504}",4139,-0.0021741051343588686,0.20627767962855895,-0.13222552878733992,0.5305629379077071
momentum,24m-2m,63,"{""skip"": 42, ""window"": 504}",4118,-0.007031086988697029,0.20380927911880514,-0.34935672354679415,0.5143273433705683
momentum,24m-2m,126,"{""skip"": 42, ""window"": 504}",4055,-0.015210062723175545,0.20271281496809077,-0.5547985512027577,0.5144266337854501
momentum,24m-2m,252,"{""skip"": 42, ""window"": 504}",3929,-0.024792581034081555,0.1786707277598349,-0.7455015948336751,0.4614405701196233
low_volatility,20d,1,"{""window"": 20}",4180,0.00477058779292488,0.2421188978613388,1.2740406953990653,0.5035885167464115
low_volatility,20d,5,"{""window"": 20}",4176,-0.001342304687463289,0.2381392926191625,-0.20100504983019993,0.49952107279693486
low_volatility,20d,10,"{""window"": 20}",4171,-0.00377306286281179,0.23322500562041387,-0.41071046600085076,0.49796211939582835
low_volatility,20d,21,"{""window"": 20}",4160,-0.006141933554320292,0.22678944523469477,-0.47743699131181977,0.5038461538461538
low_volatility,20d,42,"{""window"": 20}",4139,-0.0087225119285995,0.22657471677813548,-0.4877358402256272,0.4984295723604735
low_volatility,20d,63,"{""window"": 20}",4118,-0.008755045864920362,0.22341896424587013,-0.40990723495340736,0.5024283632831471
low_volatility,20d,126,"{""window"": 20}",4055,-0.00489170116071059,0.21546232730121573,-0.17524668108243402,0.5011097410604193
low_volatility,20d,252,"{""window"": 20}",3929,0.001771377144984429,0.21033906414953193,0.04717564814421149,0.5026724357342836
low_volatility,40d,1,"{""window"": 40}",4180,0.005197016138126825,0.25657153773580677,1.3097417892124092,0.5055023923444976
low_volatility,40d,5,"{""window"": 40}",4176,-0.0007673097991359776,0.2525558086695755,-0.10830688187580728,0.5011973180076629
low_volatility,40d,10,"{""window"": 40}",4171,-0.003144624399037207,0.24623103075864264,-0.3235253755341773,0.5029968832414289
low_volatility,40d,21,"{""window"": 40}",4160,-0.004304468851526441,0.24017519956201522,-0.31334043366844055,0.5076923076923077
low_volatility,40d,42,"{""window"": 40}",4139,-0.008085679701838855,0.24035246111521658,-0.42036966116294794,0.49722155109929933
low_volatility,40d,63,"{""window"": 40}",4118,-0.009829203766897355,0.23751268962670363,-0.42592764234059644,0.4968431277319087
low_volatility,40d,126,"{""window"": 40}",4055,-0.004745124196690511,0.22816050827837425,-0.1567033251907165,0.49864364981504317
low_volatility,40d,252,"{""window"": 40}",3929,0.0023357878296668302,0.22385808124179418,0.05729256538109942,0.4947823873759226
low_volatility,60d,1,"{""window"": 60}",4180,0.005422662113613459,0.26399313958628223,1.328189368492486,0.508133971291866
low_volatility,60d,5,"{""window"": 60}",4176,-0.0011583160965031151,0.2602039251944967,-0.15848104328155238,0.49353448275862066
low_volatility,60d,10,"{""window"": 60}",4171,-0.0040254480357734355,0.25488156053274347,-0.39992282370567817,0.501558379285543
low_volatility,60d,21,"{""window"": 60}",4160,-0.005417902214810124,0.2480563981127607,-0.380905332133288,0.5024038461538461
low_volatility,60d,42,"{""window"": 60}",4139,-0.010637058767426785,0.2482369931199441,-0.533112915202315,0.4984295723604735
low_volatility,60d,63,"{""window"": 60}",4118,-0.011882603078766507,0.24659904428266605,-0.49357827897180734,0.4907722195240408
low_volatility,60d,126,"{""window"": 60}",4055,-0.006485665538730553,0.2357720960201963,-0.20459255231261397,0.4976572133168927
low_volatility,60d,252,"{""window"": 60}",3929,0.0013183562478585914,0.2309983615709734,0.030939263431734552,0.48994655128531434
low_volatility,90d,1,"{""window"": 90}",4180,0.005102271379404711,0.2678562021380098,1.2316914977255653,0.5057416267942584
low_volatility,90d,5,"{""window"": 90}",4176,-0.0013123970451622419,0.2646755383744316,-0.1760020002020768,0.49473180076628354
low_volatility,90d,10,"{""window"": 90}",4171,-0.004205871891327634,0.2602872328284876,-0.4076029743650034,0.49796211939582835
low_volatility,90d,21,"{""window"": 90}",4160,-0.006756721337306469,0.2541621723940571,-0.46231306973897923,0.5012019230769231
low_volatility,90d,42,"{""window"": 90}",4139,-0.012636860331509686,0.2547447752873113,-0.6158606004815721,0.49528871708142064
low_volatility,90d,63,"{""window"": 90}",4118,-0.013731761614949909,0.25268097113757954,-0.5553747484246765,0.4881010199125789
low_volatility,90d,126,"{""window"": 90}",4055,-0.007390795380436047,0.24196383991774661,-0.22539694056374965,0.49445129469790383
low_volatility,90d,252,"{""window"": 90}",3929,0.0009694468097856299,0.23643746616447342,0.02196669746749911,0.4856197505726648
low_volatility,120d,1,"{""window"": 120}",4180,0.004760996173397199,0.27116616599017074,1.1352785384566721,0.5035885167464115
low_volatility,120d,5,"{""window"": 120}",4176,-0.00174621417931029,0.26804012195304855,-0.23123661299444392,0.4899425287356322
low_volatility,120d,10,"{""window"": 120}",4171,-0.00481667229596042,0.26365197560561343,-0.4608422024865127,0.4972428674178854
low_volatility,120d,21,"{""window"": 120}",4160,-0.007673791477454876,0.2573293198950929,-0.5175027014362281,0.5004807692307692
low_volatility,120d,42,"{""window"": 120}",4139,-0.013598021953407737,0.2587935326594026,-0.6511038325494198,0.49214786180236775
low_volatility,120d,63,"{""window"": 120}",4118,-0.014436434034219577,0.2571513679857647,-0.573344596030513,0.48445847498785816
low_volatility,120d,126,"{""window"": 120}",4055,-0.006817228714592348,0.24553953603197728,-0.20358331848238864,0.4917385943279901
low_volatility,120d,252,"{""window"": 120}",3929,0.002088284219506743,0.23991597512623566,0.04628879532444073,0.48511071519470605
low_volatility,180d,1,"{""window"": 180}",4180,0.0047180276319907415,0.27396998447525583,1.1135188957967008,0.5059808612440191
low_volatility,180d,5,"{""window"": 180}",4176,-0.0015320486094464296,0.2711006609588312,-0.20060541509895047,0.491139846743295
low_volatility,180d,10,"{""window"": 180}",4171,-0.00457215454871566,0.2661458116509213,-0.43331993582401873,0.4948453608247423
low_volatility,180d,21,"{""window"": 180}",4160,-0.007246092712938805,0.2595859052405877,-0.4829982119512821,0.4971153846153846
low_volatility,180d,42,"{""window"": 180}",4139,-0.012221630128818946,0.2624946806780189,-0.576324497441037,0.49408069582024644
low_volatility,180d,63,"{""window"": 180}",4118,-0.012509494229205937,0.26025002488891247,-0.49019685813182845,0.48664400194269064
low_volatility,180d,126,"{""window"": 180}",4055,-0.006519051148655236,0.2499886513616878,-0.18967179168603412,0.4850801479654747
low_volatility,180d,252,"{""window"": 180}",3929,0.004430408837793424,0.2417990520413108,0.096455427641945,0.4774751845253245
low_volatility,252d,1,"{""window"": 252}",4180,0.004151108962286401,0.27512628999403027,0.9756007772776579,0.5019138755980861
low_volatility,252d,5,"{""window"": 252}",4176,-0.0022328549939964106,0.27256907685015297,-0.29062721736820607,0.49018199233716475
low_volatility,252d,10,"{""window"": 252}",4171,-0.00517230629609633,0.26763221951587085,-0.48726191278442915,0.4936466075281707
low_volatility,252d,21,"{""window"": 252}",4160,-0.008350150564215049,0.2611504118713275,-0.5517624481848151,0.49375
low_volatility,252d,42,"{""window"": 252}",4139,-0.014022987882959808,0.2646056912262552,-0.6542530980591887,0.4882821937666103
low_volatility,252d,63,"{""window"": 252}",4118,-0.014275438289820528,0.26258189370259855,-0.5515790354287599,0.48203011170471105
low_volatility,252d,126,"{""window"": 252}",4055,-0.006801145542019257,0.2516445861731947,-0.19647004526308412,0.4776818742293465
low_volatility,252d,252,"{""window"": 252}",3929,0.005554118330632338,0.24191800371952601,0.11956736453899659,0.4713667599898193
trend,SMA20,1,"{""window"": 20}",4180,-0.006300802259568221,0.19199679073759746,-2.1219833746237775,0.49569377990430624
trend,SMA20,5,"{""window"": 20}",4176,-0.012589778612043325,0.18028264165571714,-2.636660207155448,0.4849137931034483
trend,SMA20,10,"{""window"": 20}",4171,-0.012223931722181529,0.17132453619979535,-2.0401830673757377,0.48573483577079835
trend,SMA20,21,"{""window"": 20}",4160,-0.011443622086550403,0.16526594881984763,-1.5391902848818444,0.4872596153846154
trend,SMA20,42,"{""window"": 20}",4139,-0.012568903235061862,0.15959053778492585,-1.5572267981067467,0.4728195216235806
trend,SMA20,63,"{""window"": 20}",4118,-0.010486494678878496,0.15785679987323403,-1.2523486402708603,0.47498785818358424
trend,SMA20,126,"{""window"": 20}",4055,-0.004062624133188617,0.15442293630652187,-0.5020749383176363,0.4969173859432799
trend,SMA20,252,"{""window"": 20}",3929,0.002324563694521356,0.14859024743375007,0.30587243821748233,0.5342326291677272
trend,SMA50,1,"{""window"": 50}",4180,-0.002697339402168808,0.2009722330966657,-0.8678399420805888,0.509090909090909
trend,SMA50,5,"{""window"": 50}",4176,-0.008641905862968665,0.1893706904818812,-1.6949846660159074,0.4964080459770115
trend,SMA50,10,"{""window"": 50}",4171,-0.010510849645344716,0.17753907842058633,-1.6067279248646584,0.4905298489570846
trend,SMA50,21,"{""window"": 50}",4160,-0.011503304227715325,0.17044874023394607,-1.3211699863954176,0.5
trend,SMA50,42,"{""window"": 50}",4139,-0.013184814175749,0.16638647666493145,-1.209034843245622,0.48272529596520897
trend,SMA50,63,"{""window"": 50}",4118,-0.010780934506620293,0.1651860867199976,-0.8934463133161153,0.48300145701796987
trend,SMA50,126,"{""window"": 50}",4055,-0.0020530962891566495,0.1584344268299655,-0.1733423368678873,0.5146732429099876
trend,SMA50,252,"{""window"": 50}",3929,0.00625895679303969,0.15753656948226943,0.5271794572568361,0.5413591244591499
