factor_key,horizon_days,quantile,average_count,average_factor_score,average_return,median_daily_return
momentum|6m-1m,5,1,41.47165749820617,-1.8449669,0.0032093297,0.0028390838
momentum|6m-1m,5,2,41.93422626165989,-0.93603474,0.0030620743,0.0028027187
momentum|6m-1m,5,3,41.86127720640995,-0.57247865,0.0029756112,0.0028692556
momentum|6m-1m,5,4,41.95288208562545,-0.30465934,0.0029150413,0.0027820282
momentum|6m-1m,5,5,42.02965797656063,-0.07662856,0.0026649865,0.0027657181
momentum|6m-1m,5,6,41.73953599617317,0.13758177,0.0027907188,0.0027945915
momentum|6m-1m,5,7,41.86845252331978,0.35490853,0.0027284166,0.0025715698
momentum|6m-1m,5,8,41.94570676871562,0.5987711,0.002727623,0.002757072
momentum|6m-1m,5,9,41.84764410428127,0.9156174,0.0026207184,0.002490871
momentum|6m-1m,5,10,42.358526668261185,1.692951,0.0031749266,0.0025873051
momentum|6m-1m,10,1,41.41353743123655,-1.8452704,0.0064609833,0.006048271
momentum|6m-1m,10,2,41.87371442238699,-0.93611836,0.0061276113,0.0059560174
momentum|6m-1m,10,3,41.80028701267639,-0.57249546,0.0059226803,0.005736232
momentum|6m-1m,10,4,41.89308777804353,-0.30463868,0.0058585485,0.0055611264
momentum|6m-1m,10,5,41.969624491748384,-0.076561265,0.005348726,0.005330809
momentum|6m-1m,10,6,41.679502511360916,0.13769905,0.005519214,0.0052549224
momentum|6m-1m,10,7,41.80889739296819,0.35509536,0.0053531593,0.005079938
momentum|6m-1m,10,8,41.88352068883042,0.59899956,0.0053003146,0.0052367784
momentum|6m-1m,10,9,41.78617555608706,0.915842,0.0050335806,0.0047181803
momentum|6m-1m,10,10,42.294666347763695,1.6925061,0.0059657916,0.004625767
momentum|6m-1m,21,1,41.2843817268596,-1.8458279,0.012692271,0.012019714
momentum|6m-1m,21,2,41.742645300167425,-0.936214,0.012712528,0.012059789
momentum|6m-1m,21,3,41.66826118153552,-0.5725629,0.012498659,0.011933285
momentum|6m-1m,21,4,41.76106194690266,-0.30469853,0.012382491,0.011781374
momentum|6m-1m,21,5,41.838077015068166,-0.07655763,0.011701654,0.011322376
momentum|6m-1m,21,6,41.55010762975365,0.13786383,0.011615703,0.0114450455
momentum|6m-1m,21,7,41.67471896675436,0.3554424,0.01116102,0.010872762
momentum|6m-1m,21,8,41.74958143984693,0.5995162,0.011292634,0.010911163
momentum|6m-1m,21,9,41.65032288926094,0.91646653,0.010721743,0.009661219
momentum|6m-1m,21,10,42.15450849079168,1.6915265,0.012638086,0.009630184
momentum|6m-1m,42,1,41.03826835685243,-1.8473018,0.023059854,0.019802613
momentum|6m-1m,42,2,41.4917483855537,-0.9362006,0.02427486,0.022631845
momentum|6m-1m,42,3,41.414494140157856,-0.5724877,0.024338601,0.02304154
momentum|6m-1m,42,4,41.508490791676635,-0.3046343,0.024592623,0.023136888
momentum|6m-1m,42,5,41.58526668261182,-0.07636605,0.023931175,0.02304569
momentum|6m-1m,42,6,41.30112413298254,0.1383509,0.023232514,0.022739375
momentum|6m-1m,42,7,41.41999521645539,0.35621634,0.022834316,0.021930898
momentum|6m-1m,42,8,41.49103085386271,0.6004863,0.022480505,0.020524252
momentum|6m-1m,42,9,41.395120784501316,0.9170852,0.021810904,0.01901104
momentum|6m-1m,42,10,41.88734752451567,1.6896641,0.026181137,0.021645283
momentum|6m-1m,63,1,40.79191580961493,-1.8485531,0.03485724,0.028395835
momentum|6m-1m,63,2,41.235828749103085,-0.9362182,0.03407094,0.031123698
momentum|6m-1m,63,3,41.163118871083476,-0.5724857,0.03500439,0.032415684
momentum|6m-1m,63,4,41.25209280076537,-0.30457363,0.035887465,0.033995114
momentum|6m-1m,63,5,41.33197799569481,-0.07611493,0.035413764,0.034432594
momentum|6m-1m,63,6,41.05261899067209,0.1388577,0.034346823,0.032485247
momentum|6m-1m,63,7,41.166228175077734,0.35682085,0.03379733,0.031699
momentum|6m-1m,63,8,41.23463286295145,0.6012522,0.03359217,0.029790225
momentum|6m-1m,63,9,41.140397034202344,0.9177403,0.032820206,0.028298832
momentum|6m-1m,63,10,41.624970102846206,1.6881287,0.03949032,0.032472283
momentum|6m-1m,126,1,40.042812724228654,-1.851357,0.06763351,0.052841723
momentum|6m-1m,126,2,40.46806983975126,-0.9371106,0.067146935,0.0611386
momentum|6m-1m,126,3,40.41018895001196,-0.57305723,0.068685,0.062979154
momentum|6m-1m,126,4,40.49294427170533,-0.3046792,0.06893322,0.0635405
momentum|6m-1m,126,5,40.565893326955276,-0.0758395,0.06693417,0.06183824
momentum|6m-1m,126,6,40.29275292992107,0.13960053,0.067102686,0.061676748
momentum|6m-1m,126,7,40.411624013393926,0.35828376,0.067386046,0.06201184
momentum|6m-1m,126,8,40.48959579048075,0.60327864,0.06805945,0.06192612
momentum|6m-1m,126,9,40.38651040420952,0.91984725,0.06850875,0.06164246
momentum|6m-1m,126,10,40.85505859842143,1.6857032,0.08340038,0.067212515
momentum|6m-1m,252,1,38.50944750059794,-1.8561685,0.14877224,0.11490119
momentum|6m-1m,252,2,38.97392968189428,-0.9389872,0.14573154,0.12709662
momentum|6m-1m,252,3,38.915092083233674,-0.5728674,0.1454071,0.1287974
momentum|6m-1m,252,4,38.98923702463525,-0.3033093,0.14094836,0.12674253
momentum|6m-1m,252,5,39.049031332217176,-0.07361985,0.13887638,0.12608577
momentum|6m-1m,252,6,38.796460176991154,0.14219995,0.13996504,0.12670472
momentum|6m-1m,252,7,38.911265247548435,0.36124292,0.14037837,0.1277407
momentum|6m-1m,252,8,38.9844534800287,0.6062441,0.13864017,0.12536958
momentum|6m-1m,252,9,38.88662999282468,0.92154235,0.1395775,0.12386322
momentum|6m-1m,252,10,39.331260464003826,1.6797069,0.15521196,0.12110962
momentum|6m-2m,1,1,41.51614446304712,-1.8393847,0.0006540178,0.00037828708
momentum|6m-2m,1,2,41.98110499880411,-0.9349311,0.0005332472,0.0004640177
momentum|6m-2m,1,3,41.89811049988041,-0.57536745,0.0006453425,0.0005903627
momentum|6m-2m,1,4,42.00239177230328,-0.3087976,0.00058526173,0.00057886617
momentum|6m-2m,1,5,42.07294905524994,-0.080461025,0.00060158194,0.00058153976
momentum|6m-2m,1,6,41.78378378378378,0.1349629,0.0005848715,0.00057245966
momentum|6m-2m,1,7,41.915092083233674,0.35479388,0.0005155983,0.0005592246
momentum|6m-2m,1,8,41.98541018895001,0.60085046,0.00055585406,0.00056136295
momentum|6m-2m,1,9,41.89428366419517,0.9185754,0.0005469991,0.0005670583
momentum|6m-2m,1,10,42.40516622817508,1.6947528,0.0006296627,0.00051237486
momentum|6m-2m,5,1,41.46926572590289,-1.839698,0.0031948,0.0026152632
momentum|6m-2m,5,2,41.93326955273858,-0.9350064,0.002984834,0.0028602558
momentum|6m-2m,5,3,41.8505142310452,-0.57540274,0.0029547655,0.0027766656
momentum|6m-2m,5,4,41.95383879454676,-0.30877855,0.0029278714,0.0029122406
momentum|6m-2m,5,5,42.02439607749342,-0.080383286,0.002842392,0.0027148903
momentum|6m-2m,5,6,41.73570916048792,0.13510299,0.0029818,0.0028279286
momentum|6m-2m,5,7,41.86653910547716,0.35497937,0.0026323665,0.0026677952
